Date,Transaction,Value
10/11/2021,In,$294.36
30/12/2021,In,$136.28
07/01/2022,In,$17.72
10/01/2022,In,"$3,162.66"
12/01/2022,In,$571.87
17/01/2022,In,"$3,596.50"
18/01/2022,In,"$3,578.40"
22/01/2022,In,"$5,813.00"
24/01/2022,In,"$3,616.00"
25/01/2022,In,"$3,628.55"
31/01/2022,In,"$3,726.18"
02/02/2022,In,"$5,107.35"
07/02/2022,In,"$7,510.33"
14/02/2022,In,"$3,836.00"
22/04/2000,In,$386.43
12/05/2022,Out,"-$11,000.00"
08/08/2022,Out,-$20.00
11/08/2022,Out,"-$1,720.00"
28/09/2022,Out,"-$3,142.00"
10/03/2023,In,$955.84
12/03/2023,Out,#REF!
#REF!,In,#REF!
#REF!,In,#REF!
11/10/2023,In,$245.86
18/12/2023,In,#REF!
03/01/2024,In,$505.12
20/03/2024,In,$154.82
02/04/2024,In,"$1,256.80"
03/05/2024,In,"$4,005.03"
07/06/2024,Out,"-$4,602.34"
11/06/2024,In,$891.02
01/07/2024,In,"$1,520.96"
01/08/2024,In,"$3,200.50"
01/08/2024,In,"$1,926.06"
23/08/2024,In,"$2,113.44"
27/08/2024,In,"$1,588.80"
05/09/2024,In,"$6,180.92"
06/12/2024,Out,"-$17,944.30"
22/05/2025,Out,#REF!
