Date,Crypto,Transaction,Quantity,Value,Cost/Coin,P&L
14/07/2021,DOGE,Buy,1.000,$0.20,$0.20,
14/07/2021,BTC,Buy,0.000,$5.41,"$27,046.82",
16/08/2021,DOGE,Buy,20.000,$6.74,$0.34,
16/08/2021,DOGE,Buy,33.227,$11.17,$0.34,
13/09/2021,DOGE,Buy,21.823,$3.07,$0.14,
13/09/2021,BTC,Buy,0.002,$40.88,"$27,136.68",
10/11/2021,SHIB,Buy,"487,416.950",$27.25,$0.00,
13/09/2021,ETH,Buy,0.015,$34.36,"$2,322.93",
20/09/2021,XRP,Buy,40.999,$40.13,$0.98,
20/09/2021,BCH,Buy,0.071,$39.35,$551.94,
09/11/2021,MANA,Buy,5.140,$11.47,$2.23,
16/11/2021,ADA,Buy,89.749,$176.63,$1.97,
16/11/2021,BTC,Sell,0.002,$74.70,"$43,775.55",$28.41
16/11/2021,ETH,Sell,0.015,$49.05,"$3,315.85",$14.69
16/11/2021,BCH,Sell,0.071,$40.88,$573.34,$1.53
16/11/2021,MANA,Sell,5.140,$13.64,$2.65,$2.17
16/11/2021,SOL,Buy,0.193,$40.88,$212.13,
10/11/2021,SHIB,Buy,"525,449.350",$27.25,$0.00,
23/11/2021,ONE,Buy,131.568,$43.60,$0.33,
23/11/2021,XRP,Sell,40.999,$40.88,$1.00,$0.75
23/11/2021,SAND,Buy,13.300,$77.75,$5.85,
26/12/2021,SAND,Sell,13.300,$89.71,$6.75,$11.96
27/12/2021,COS,Buy,"3,175.358",$89.71,$0.03,
30/12/2021,MC,Buy,13.570,$68.13,$5.02,
30/12/2021,BNB,Buy,0.130,$68.13,$524.65,
30/12/2021,USDT,Buy,0.146,$0.15,$1.00,
07/01/2022,ONE,Sell,131.568,$42.69,$0.32,-$0.91
07/01/2022,ETH,Buy,0.013,$42.69,"$3,224.84",
07/01/2022,LUNA,Buy,0.250,$17.71,$70.92,
10/01/2022,BTC,Buy,0.038,"$1,581.08","$41,142.66",
10/01/2022,ETH,Buy,0.254,$790.54,"$3,118.04",
10/01/2022,SOL,Buy,2.997,$395.27,$131.89,
10/01/2022,DOT,Buy,16.647,$395.27,$23.74,
11/01/2022,BTC,Sell,0.038,"$1,645.37","$42,815.71",$64.29
11/01/2022,ETH,Sell,0.254,$822.09,"$3,242.47",$31.55
11/01/2022,DOT,Sell,16.647,$426.42,$25.62,$31.15
11/01/2022,USDT,Buy,0.500,$0.50,$1.00,
12/01/2022,SAND,Buy,53.000,$270.31,$5.10,
12/01/2022,MATIC,Buy,127.600,$299.86,$2.35,
13/01/2022,BTC,Buy,0.034,"$1,447.71","$42,629.86",
13/01/2022,ETH,Buy,0.336,"$1,085.65","$3,233.99",
14/01/2022,RUNE,Buy,57.800,$361.83,$6.26,
17/01/2022,ETH,Buy,0.551,"$1,797.24","$3,260.00",
17/01/2022,BTC,Buy,0.021,$898.61,"$42,750.24",
17/01/2022,SOL,Buy,3.150,$448.88,$142.50,
17/01/2022,HNT,Buy,13.940,$449.56,$32.25,
18/01/2022,DOT,Buy,72.059,"$1,787.50",$24.81,
18/01/2022,FTM,Buy,324.500,$918.98,$2.83,
