DB,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,Net Value BRL,Net Value GBP,Fixed Income,Portfolio ROI,Crypto,Real Estate,GBP <> BRL FX,Equity,Pensions,Total BRL,Total GBP,Debt,,,,,,,,,,,,
,01/11/2021," R$1,014,657 "," £138,391 ",,4.2%, $271 ," R$886,000 ", R$7.92 , £-   ," £17,095 "," R$1,150,049 "," £155,486 ",,,,,,,,,,,,,
,08/11/2021," R$1,009,446 "," £137,680 ",,4.2%, $300 ," R$886,000 ", R$7.79 , £-   ," £17,095 "," R$1,142,615 "," £154,775 ",,,,,,,,,,,,,
,15/11/2021," R$1,025,909 "," £140,107 ",,4.2%, $348 ," R$902,000 ", R$7.78 ," £2,674 "," £17,095 "," R$1,158,907 "," £157,202 ",,,,,,,,,,,,,
,01/12/2021," R$1,040,368 "," £139,905 ",,4.3%, $299 ," R$918,000 ", R$7.74 ," £2,674 "," £17,436 "," R$1,175,322 "," £157,341 ",,,,,,,,,,,,,
,01/01/2022," R$1,065,270 "," £141,761 ",,4.3%, $468 ," R$938,669 ", R$7.71 ," £2,674 "," £17,777 "," R$1,202,330 "," £159,538 ",,,,,,,,,,,,,
,10/01/2022," R$1,083,116 "," £140,580 ",,4.0%," $3,550 "," R$938,669 ", R$7.76 ," £2,674 "," £17,777 "," R$1,221,064 "," £158,357 ",,,,,,,,,,,,,
,14/01/2022," R$1,085,281 "," £142,974 ",,4.0%," $4,314 "," R$938,669 ", R$7.76 ," £2,684 "," £17,777 "," R$1,223,230 "," £160,750 ",,,,,,,,,,,,,
,17/01/2022," R$1,125,824 "," £148,727 ",,4.1%," $7,945 "," R$958,669 ", R$7.76 ," £2,684 "," £17,777 "," R$1,263,773 "," £166,504 ",,,,,,,,,,,,,
,24/01/2022," R$1,125,951 "," £152,803 ",,4.5%," $13,364 "," R$958,669 ", R$7.76 ," £2,684 "," £17,777 "," R$1,263,900 "," £170,579 ",,,,,,,,,,,,,
,25/01/2022," R$1,155,888 "," £157,182 ",,4.5%," $18,902 "," R$958,669 ", R$7.76 ," £2,684 "," £17,777 "," R$1,293,836 "," £174,959 ",,,,,,,,,,,,,
,28/01/2022," R$1,172,146 "," £161,878 ",,4.6%," $21,099 "," R$964,755 ", R$7.76 ," £2,684 "," £17,777 "," R$1,310,095 "," £179,655 ",,,,,,,,,,,,,
,01/02/2022," R$1,226,908 "," £170,082 ",,5.6%," $31,889 "," R$964,755 ", R$7.23 ," £11,951 "," £18,118 "," R$1,357,901 "," £188,200 ",,,,,,,,,,,,,
,13/02/2022," R$1,252,708 "," £175,826 ",,5.5%," $37,449 "," R$964,755 ", R$7.26 ," £11,951 "," £18,118 "," R$1,384,244 "," £193,944 ",,,,,,,,,,,,,
,15/02/2022," R$1,296,061 "," £184,566 ",,7.1%," $42,970 "," R$984,755 ", R$7.23 ," £14,951 "," £18,118 "," R$1,427,054 "," £202,684 ",,,,,,,,,,,,,
,16/02/2022," R$1,298,128 "," £185,396 ",,7.6%," $43,721 "," R$984,755 ", R$7.24 ," £14,951 "," £18,118 "," R$1,429,302 "," £203,514 ",,,,,,,,,,,,,
,01/03/2022," R$1,251,685 "," £182,141 ",,5.7%," $35,663 "," R$984,755 ", R$6.95 ," £14,951 "," £18,451 "," R$1,379,919 "," £200,592 ",,,,,,,,,,,,,
,14/03/2022," R$1,262,150 "," £190,736 ",,5.6%," $37,819 "," R$984,755 ", R$6.81 ," £10,616 "," £18,451 "," R$1,387,801 "," £209,187 ",,,,,,,,,,,,,
,01/04/2022," R$1,319,198 "," £215,824 ",,6.2%," $50,613 "," R$1,004,755 ", R$6.33 ," £10,616 "," £18,772 "," R$1,438,025 "," £234,596 ",,,,,,,,,,,,,
,19/04/2022," R$1,302,252 "," £214,766 ",,8.9%," $42,568 "," R$1,025,549 ", R$6.34 ," £10,616 "," £18,772 "," R$1,421,266 "," £233,538 ",,,,,,,,,,,,,
,01/05/2022," R$1,301,093 "," £207,811 ",,6.9%," $38,670 "," R$1,025,549 ", R$6.36 ," £10,616 "," £19,221 "," R$1,423,337 "," £227,032 ",,,,,,,,,,,,,
,01/06/2022," R$1,170,736 "," £191,416 ",,5.0%," $8,656 "," R$1,045,549 ", R$6.38 ," £10,616 "," £19,763 "," R$1,296,824 "," £211,179 ",,,,,,,,,,,,,
,01/07/2022," R$1,193,000 "," £185,630 ",,0.1%," $6,833 "," R$1,067,294 ", R$6.39 ," £10,616 "," £20,306 "," R$1,322,752 "," £205,935 ",,,,,,,,,,,,,
,01/08/2022," R$1,190,647 "," £191,087 "," R$17,196 ",1.3%," $7,261 "," R$1,087,294 ", R$6.35 ," £10,616 "," £20,848 "," R$1,323,032 "," £211,935 ",,,,,,,,,,,,,
,01/09/2022," R$1,203,444 "," £200,737 "," R$21,396 ",13.0%," $5,469 "," R$1,087,294 ", R$6.01 ," £10,616 "," £21,391 "," R$1,332,001 "," £222,127 ",,,,,,,,,,,,,
,01/10/2022," R$1,217,233 "," £201,331 "," R$8,982 ",10.7%," $2,156 "," R$1,127,294 ", R$6.04 ," £10,616 "," £21,933 "," R$1,349,708 "," £223,264 ",,,,,,,,,,,,,
,01/11/2022," R$1,226,898 "," £204,286 "," R$7,674 ",11.4%," $2,283 "," R$1,140,415 ", R$5.94 ," £10,616 "," £22,475 "," R$1,360,402 "," £226,762 ",,,,,,,,,,,,,
,01/12/2022," R$1,245,082 "," £191,746 "," R$17,595 ",3.2%," $1,759 "," R$1,148,967 ", R$6.26 ," £10,616 "," £23,018 "," R$1,389,174 "," £214,764 ",,,,,,,,,,,,,
,01/01/2023," R$1,282,792 "," £198,584 "," R$8,752 ",2.0%," $1,736 "," R$1,183,276 ", R$6.45 ," £12,616 "," £23,560 "," R$1,434,757 "," £222,144 ",,,,,,,,,,,,,
,01/02/2023," R$1,225,623 "," £196,233 "," R$895,920 ",20.0%," $2,549 "," R$209,000 ", R$6.24 ," £17,188 "," £24,103 "," R$1,376,061 "," £220,336 ",,,,,,,,,,,,,
,01/03/2023," R$1,247,140 "," £198,047 "," R$884,727 ",20.3%," $2,701 "," R$218,000 ", R$6.30 ," £20,188 "," £24,645 "," R$1,402,290 "," £222,693 ",,,,,,,,,,,,,
,01/04/2023," R$1,256,602 "," £200,434 "," R$883,648 ",20.8%," $2,214 "," R$227,000 ", R$6.27 ," £21,394 "," £25,188 "," R$1,414,469 "," £225,622 ",,,,,,,,,,,,,
,01/05/2023," R$1,281,083 "," £204,985 "," R$862,033 ",20.6%," $2,112 "," R$236,000 ", R$6.25 ," £27,510 "," £25,730 "," R$1,441,815 "," £230,715 ",,,,,,,,,,,,,
,01/06/2023," R$1,303,301 "," £206,706 "," R$838,657 ",20.0%," $1,826 "," R$275,029 ", R$6.30 ," £28,514 "," £26,346 "," R$1,469,394 "," £233,052 ",,,,,,,,,,,,,
,01/07/2023," R$1,326,117 "," £216,166 "," R$840,164 ",23.4%," $1,598 "," R$292,180 ", R$6.13 ," £30,269 "," £26,962 "," R$1,491,460 "," £243,129 ",,,,,,,,,,,,,
,01/08/2023," R$1,346,135 "," £221,183 "," R$829,887 ",24.8%," $1,527 "," R$319,346 ", R$6.08 ," £31,116 "," £27,578 "," R$1,513,897 "," £248,761 ",,,,,,,,,,,,,
,01/09/2023," R$1,356,400 "," £218,811 "," R$639,440 ",22.6%," $1,795 "," R$520,187 ", R$6.19 ," £30,198 "," £28,194 "," R$1,531,018 "," £247,005 ",,,,,,,,,,,,,
,01/10/2023," R$1,367,803 "," £221,724 "," R$459,252 ",24.0%," $2,103 "," R$704,247 ", R$6.17 ," £30,157 "," £28,810 "," R$1,545,484 "," £250,535 ",,,,,,,,,,,,,
,01/11/2023," R$1,380,935 "," £224,271 "," R$438,380 ",23.6%," $2,890 "," R$727,504 ", R$6.16 ," £30,913 "," £29,426 "," R$1,562,065 "," £253,697 ",,,,,,,,,,,,,
,01/12/2023," R$1,406,027 "," £225,670 "," R$421,786 ",23.2%," $3,462 "," R$749,076 ", R$6.23 ," £33,162 "," £30,042 "," R$1,593,184 "," £255,712 ",,,,,,,,,,,,,
,01/01/2024," R$1,426,360 "," £230,528 "," R$419,809 ",25.8%," $5,022 "," R$757,412 ", R$6.18 ," £34,400 "," £30,658 "," R$1,615,901 "," £261,187 ",,,,,,,,,,,,,
,01/02/2024," R$1,446,993 "," £229,523 "," R$415,995 ",21.3%," $5,102 "," R$762,800 ", R$6.30 ," £38,547 "," £30,045 "," R$1,636,262 "," £259,568 ",,,,,,,,,,,,,
,01/03/2024," R$1,472,474 "," £234,443 "," R$420,871 ",22.7%," $7,296 "," R$765,102 ", R$6.28 ," £39,845 "," £30,565 "," R$1,664,317 "," £265,009 ",,,,,,,,,,,,,
,01/04/2024," R$1,392,281 "," £221,107 "," R$398,579 ",27.2%," $9,063 "," R$766,408 ", R$6.29 ," £26,821 "," £56,015 "," R$1,744,785 "," £277,123 ",,,,,,,,,,,,,
,01/05/2024," R$1,416,991 "," £218,502 "," R$397,337 ",23.4%," $8,114 "," R$767,737 ", R$6.48 ," £27,315 "," £56,840 "," R$1,785,526 "," £275,342 ",,,,,,,,,,,,,
,01/06/2024," R$1,423,537 "," £213,545 "," R$401,376 ",21.9%," $14,462 "," R$777,967 ", R$6.66 ," £24,561 "," £61,672 "," R$1,834,414 "," £275,217 ",,,,,,,,,,,,,
,01/07/2024," R$1,440,369 "," £206,850 "," R$428,431 ",22.6%," $9,351 "," R$778,137 ", R$6.96 ," £24,698 "," £64,039 "," R$1,885,958 "," £270,888 ",,,,,,,,,,,,,
,01/08/2024," R$1,466,387 "," £202,960 "," R$430,009 ",21.2%," $14,267 "," R$779,627 ", R$7.22 ," £24,271 "," £64,235 "," R$1,930,281 "," £267,195 ",,,,,,,,,,,,,
,01/09/2024," R$1,470,000 "," £198,018 "," R$433,558 ",23.5%," $17,504 "," R$780,915 ", R$7.42 ," £21,055 "," £64,256 "," R$1,946,792 "," £262,274 ",,,,,,,,,,,,,
,01/10/2024," R$1,478,095 "," £205,023 "," R$433,950 ",26.8%," $24,783 "," R$779,462 ", R$7.21 ," £16,469 "," £66,147 "," R$1,954,824 "," £271,171 ",,,,,,,,,,,,,
,01/11/2024," R$1,590,960 "," £212,710 "," R$450,838 ",25.6%," $28,998 "," R$777,472 ", R$7.48 ," £21,045 "," £69,796 "," R$2,113,006 "," £282,506 ",,,,,,,,,,,,,
,01/12/2024," R$1,684,244 "," £219,798 "," R$439,095 ",30.0%," $39,436 "," R$776,485 ", R$7.66 ," £27,105 "," £74,517 "," R$2,255,170 "," £294,315 ",,,,,,,,,,,,,
