Portfolio Overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accounts & Portfolio,,, GBP <> BRL , R$7.10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bank Accounts,GBP,BRL,USD,ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HSBC, £-   , R$-   , $-   ,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XP, £-   , R$-   , $-   ,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Santander, £-   , R$-   , $-   ,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total, £-   , R$-   , $-   ,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed Income,GBP,BRL,USD,ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XP," £51,821 "," R$368,050 "," $70,518 ",49.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Santander," £7,924 "," R$56,279 "," $10,783 ",37.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inter," £10,364 "," R$73,605 "," $14,103 ",15.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Monzo, £0 , R$0 , $0 ,-100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trading 212, £-   , R$-   , $-   ,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total," £70,109 "," R$497,933 "," $95,404 ",42.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Equity,GBP,BRL,USD,ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Monzo, £144 ," R$1,023 ", $196 ,1341.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GGF," £9,185 "," R$65,226 "," $12,500 ",0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trading 212," £12,506 "," R$88,768 "," $17,012 ",1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XP, £-   , R$-   , $-   ,14.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amazon," £2,053 "," R$14,581 "," $2,794 ",199.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total," £23,889 "," R$169,599 "," $32,502 ",6.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crypto,GBP,BRL,USD,ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTC, £-   , R$-   , $-   ,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Others, £-   , R$-   , $-   ,-100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total, £-   , R$-   , $-   ,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Real Estate,GBP,BRL,USD,ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edifício Zara," £62,544 "," R$444,204 "," $85,109 ",20.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Andyara 2," £40,832 "," R$290,000 "," $55,564 ",44.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
