Date,Broker,Asset,Investment,Quantity,Cost / Share,Profit / Loss,ROI %
01/06/2017,Monzo,Monzo - Equity,£10.00,10.00,£1.00,,
01/08/2021,Green Gold Farms,Green Gold Farms - Equity,"$12,500.00","2,312.00",$5.41,,
30/09/2021,Fidelity,Fidelity Index US Fund P-Acc,"£3,704.00",451.74,£8.20,,
30/09/2021,Fidelity,Fidelity Index Europe ex UK Fund P-Accumulation,"£1,681.00",526.87,£3.19,,
05/07/2022,Fidelity,Fidelity Index US Fund P-Acc,"-£1,995.00",-451.74,£4.42,,
05/07/2022,Fidelity,Fidelity Index Europe ex UK Fund P-Accumulation,-£960.00,-526.87,£1.82,,
20/12/2022,Fidelity,Fidelity Index US Fund P-Acc,"£1,500.00",456.36,£3.29,,
20/12/2022,Fidelity,Fidelity Index Europe ex UK Fund P-Accumulation,£500.00,276.96,£1.81,,
09/01/2023,0,Top Dividendos,"R$6,000.00",1.00,"R$6,000.00",,
27/01/2023,Fidelity,Fidelity Index US Fund P-Acc,"£2,000.00",585.10,£3.42,,
27/01/2023,Fidelity,Fidelity Index Europe ex UK Fund P-Accumulation,"£1,000.00",510.88,£1.96,,
24/02/2023,Fidelity,Fidelity Index US Fund P-Acc,"£1,500.00",437.83,£3.43,,
24/02/2023,Fidelity,Fidelity Index Europe ex UK Fund P-Accumulation,"£1,500.00",752.26,£1.99,,
08/03/2023,Fidelity,Fidelity Index US Fund P-Acc,£500.00,145.94,£3.43,,
08/03/2023,Fidelity,Fidelity Index Europe ex UK Fund P-Accumulation,£500.00,250.75,£1.99,,
27/03/2023,Fidelity,Fidelity Index US Fund P-Acc,£250.00,74.40,£3.36,,
27/03/2023,Fidelity,Fidelity Index Europe ex UK Fund P-Accumulation,£250.00,141.00,£1.77,,
03/04/2023,0,BOVA11,"R$9,875.00",100.00,R$98.75,,
12/04/2023,Fidelity,Fidelity Index US Fund P-Acc,£790.00,228.79,£3.46,,
12/04/2023,Fidelity,Fidelity Index Europe ex UK Fund P-Accumulation,£210.00,103.86,£2.02,,
15/04/2023,Amazon,Amazon Shares,"$2,050.20",20.00,$102.51,,
11/05/2023,Fidelity,Fidelity Index US Fund P-Acc,"£1,255.00",363.14,£3.46,,
11/05/2023,Fidelity,Fidelity Index Europe ex UK Fund P-Accumulation,"£1,000.00",495.05,£2.02,,
06/06/2023,Fidelity,Fidelity Index US Fund P-Acc,-£300.00,-82.92,£3.62,,
26/06/2023,Fidelity,Fidelity Index US Fund P-Acc,£500.00,140.30,£3.56,,
26/06/2023,Fidelity,Fidelity Index Europe ex UK Fund P-Accumulation,£500.00,254.91,£1.96,,
26/06/2023,Fidelity,Fidelity Funds - Global Technology,£756.00,79.31,£9.53,,
20/07/2023,0,GGBR4,"R$2,766.00",120.00,R$27.66,,
20/07/2023,0,VALE3,R$883.35,13.00,R$67.95,,
14/08/2023,Fidelity,Fidelity Index US Fund P-Acc,"-£1,000.00",-269.88,£3.71,,
21/08/2023,0,BBAS3,"R$1,655.38",74.00,R$22.37,,
09/10/2023,Fidelity,Fidelity Index Europe ex UK Fund P-Accumulation,£500.00,259.47,£1.93,,
09/10/2023,Fidelity,Fidelity Funds - Global Technology,£500.00,76.93,£6.50,,
01/11/2023,Fidelity,Fidelity Index Europe ex UK Fund P-Accumulation,£500.00,261.15,£1.91,,
01/11/2023,Fidelity,Fidelity Funds - Global Technology,£500.00,79.81,£6.27,,
01/11/2023,Fidelity,Fidelity Index US Fund P-Acc,£500.00,138.89,£3.60,,
06/11/2023,0,AURE3,"R$1,108.03",77.00,R$14.39,,
06/11/2023,0,EGIE3,"R$1,412.29",37.00,R$38.17,,
08/11/2023,0,Real Investor,"R$6,689.04",354.45,R$18.87,,
06/01/2024,Fidelity,Fidelity Index Europe ex UK Fund P-Accumulation,£500.00,240.26,£2.08,,
06/01/2024,Fidelity,Fidelity Funds - Global Technology,"£1,000.00",139.12,£7.19,,
15/01/2024,0,Real Investor,"R$4,223.00",200.58,R$21.05,,
16/01/2024,0,Real Investor,"R$1,203.00",57.14,R$21.05,,
31/01/2024,0,Real Investor,"R$3,459.00",168.01,R$20.59,,
31/01/2024,0,GGBR4,"R$2,127.00",120.00,R$21.27,,
31/01/2024,0,CMIG4,"R$4,600.00",520.00,R$8.85,,
04/03/2024,Fidelity,Fidelity Index US Fund P-Acc,-£100.00,-23.38,£4.28,,
20/03/2024,Fidelity,Fidelity Index Europe ex UK Fund P-Accumulation,"-£6,000.00","-2,689.74",£2.23,,
20/03/2024,Fidelity,Fidelity Funds - Global Technology,"-£2,000.00",-258.33,£7.74,,
20/03/2024,Fidelity,Fidelity Index US Fund P-Acc,"-£8,000.00","-1,890.22",£4.28,,
16/01/2024,0,Real Investor,"R$17,660.00",829.77,R$21.28,,
04/04/2024,Fidelity,Fidelity Index US Fund P-Acc,£300.00,68.52,£4.38,,
04/04/2024,Fidelity,Fidelity Index Europe ex UK Fund P-Accumulation,£300.00,133.59,£2.25,,
04/04/2024,Fidelity,Fidelity Funds - Global Technology,£400.00,50.29,£7.95,,
06/05/2024,0,BBAS3,"R$1,188.60",42.00,R$28.30,,
08/05/2024,Fidelity,Fidelity Index US Fund P-Acc,"-£1,000.00",-228.75,£4.37,,
08/05/2024,Fidelity,Fidelity Index Europe ex UK Fund P-Accumulation,"-£1,400.00",-620.32,£2.26,,
15/08/2024,Fidelity,Fidelity Index US Fund P-Acc,-£404.00,-144.13,£2.80,£234.71,14.3%
15/08/2024,Fidelity,Fidelity Index Europe ex UK Fund P-Accumulation,-£581.00,-370.09,£1.57,£220.48,10.0%
