Forecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forecast,GBP,,,,,,,BRL,,,,,,,,,,,GBP,,,,,,,BRL,,,,,,,,Net Worth,Investment,Interest,,,,,,,,,,,,,,,,,,,
,Month/Year,Target,Investment,Interest,MoM Δ,MoM Δ %,APY,,Target BRL,Investment,Interest,MoM Δ,MoM Δ %,APY,Positive Base BRL,Projected BRL,Base Interest %,Interest %,,Actuals,Δ to Target,% Δ to Target,MoM Δ,MoM Δ %,APY,,Actuals,Δ to Target,% Δ to Target,MoM Δ,MoM Δ %,APY,,5Y Total," £1,006,080 "," £279,273 "," £726,807 ",,,,,,,,,,,,,,,,,,,
,Jan/2022," £161,273 ",,, £-   ,0.00%,0.00%,,"R$1,042,039","R$12,000",,,,,"R$1,202,330","R$1,202,330",1.00%,2.60%,," £159,538 ","-£1,735 ",-1.1%, £-   ,0.0%,0.00%,," R$1,202,330 ", R$-   ,0.0%, R$-   ,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,
,Feb/2022," £167,467 "," £2,000 "," £4,193 "," £6,193 ",3.84%,3.84%,,"R$1,081,132","R$12,000","R$27,093","R$39,093",3.75%,3.75%,"R$1,226,353","R$1,357,901",1.00%,2.60%,," £188,200 "," £20,734 ",12.4%," £28,662 ",18.0%,17.97%,," R$1,357,901 "," R$131,547 ",10.7%," R$155,571 ",12.9%,12.9%,,,,,,,,,,,,,,,,,,,,,,,,
,Mar/2022," £173,821 "," £2,000 "," £4,354 "," £6,354 ",3.79%,7.78%,,"R$1,121,241","R$12,000","R$28,109","R$40,109",3.71%,7.60%,"R$1,250,617","R$1,387,801",1.00%,2.60%,," £209,187 "," £35,366 ",20.3%," £20,987 ",11.2%,31.12%,," R$1,387,801 "," R$137,184 ",11.0%," R$29,900 ",2.2%,15.4%,,,,,,,,,,,,,,,,,,,,,,,,
,Apr/2022," £180,340 "," £2,000 "," £4,519 "," £6,519 ",3.75%,11.82%,,"R$1,162,394","R$12,000","R$29,152","R$41,152",3.67%,11.55%,"R$1,275,123","R$1,423,337",1.00%,2.60%,," £227,032 "," £46,692 ",25.9%," £17,845 ",8.5%,42.31%,," R$1,423,337 "," R$148,213 ",11.6%," R$35,536 ",2.6%,18.4%,,,,,,,,,,,,,,,,,,,,,,,,
,May/2022," £187,029 "," £2,000 "," £4,689 "," £6,689 ",3.71%,15.97%,,"R$1,204,616","R$12,000","R$30,222","R$42,222",3.63%,15.60%,"R$1,299,874","R$1,296,824",1.00%,2.60%,," £211,179 "," £24,150 ",12.9%,"-£15,853 ",-7.0%,32.37%,," R$1,296,824 "," R$(3,050)",-0.2%," R$(126,512)",-8.9%,7.9%,,,,,,,,,,,,,,,,,,,,,,,,
,Jun/2022," £193,892 "," £2,000 "," £4,863 "," £6,863 ",3.67%,20.23%,,"R$1,247,936","R$12,000","R$31,320","R$43,320",3.60%,19.76%,"R$1,324,873","R$1,322,752",1.00%,2.60%,," £205,935 "," £12,043 ",6.2%,"-£5,244 ",-2.5%,29.08%,," R$1,322,752 "," R$(2,121)",-0.2%," R$25,928 ",2.0%,10.0%,,,,,,,,,,,,,,,,,,,,,,,,
,Jul/2022," £200,933 "," £2,000 "," £5,041 "," £7,041 ",3.63%,24.59%,,"R$1,292,382","R$12,000","R$32,446","R$44,446",3.56%,24.02%,"R$1,350,122","R$1,323,032",1.00%,2.60%,," £211,935 "," £11,002 ",5.5%," £6,000 ",2.9%,32.84%,," R$1,323,032 "," R$(27,090)",-2.0%, R$280 ,0.0%,10.0%,,,,,,,,,,,,,,,,,,,,,,,,
,Aug/2022," £208,157 "," £2,000 "," £5,224 "," £7,224 ",3.60%,29.07%,,"R$1,337,984","R$12,000","R$33,602","R$45,602",3.53%,28.40%,"R$1,375,623","R$1,332,001",1.00%,2.60%,," £222,127 "," £13,970 ",6.7%," £10,192 ",4.8%,39.23%,," R$1,332,001 "," R$(43,623)",-3.2%," R$8,968 ",0.7%,10.8%,,,,,,,,,,,,,,,,,,,,,,,,
,Sep/2022," £215,569 "," £2,000 "," £5,412 "," £7,412 ",3.56%,33.67%,,"R$1,384,772","R$12,000","R$34,788","R$46,788",3.50%,32.89%,"R$1,401,379","R$1,349,708",1.00%,2.60%,," £223,264 "," £7,695 ",3.6%," £1,137 ",0.5%,39.94%,," R$1,349,708 "," R$(51,671)",-3.7%," R$17,707 ",1.3%,12.3%,,,,,,,,,,,,,,,,,,,,,,,,
,Oct/2022," £223,174 "," £2,000 "," £5,605 "," £7,605 ",3.53%,38.38%,,"R$1,432,776","R$12,000","R$36,004","R$48,004",3.47%,37.50%,"R$1,427,393","R$1,360,402",1.00%,2.60%,," £226,762 "," £3,588 ",1.6%," £3,498 ",1.6%,42.14%,," R$1,360,402 "," R$(66,991)",-4.7%," R$10,694 ",0.8%,13.1%,,,,,,,,,,,,,,,,,,,,,,,,
