Ledger,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Income,,,,,,,Investments,,,,,,,,
,ROI Basis,Salary Savings,Fixed Income,Equity,Real Estate,Total,,,Fixed Income,Equity,Real Estate,Pension Funds,Crypto,Debt,Total,
," £259,118 "," £287,552 "," £23,919 "," £7,812 "," £51,540 "," £370,823 ",,," £42,209 "," £19,821 "," £180,287 "," £65,170 "," £5,172 ",," £312,659 ",
,,,,,,,,,,,,,,,,
,Month/Year,Salary Savings,Fixed Income,Equity,Real Estate,Total,,Month/Year,Fixed Income,Equity,Real Estate,Pension Funds,Crypto,Debt,Total,
,Dec/2020," £56,839 ",,,," £56,839 ",,Dec/2020,,," £47,971 "," £8,868 ",,," £56,839 ",
,Jan/2021," £51,055 ",,,," £51,055 ",,Jan/2021,,," £50,482 ", £572 ,,," £51,055 ",
,Feb/2021," £3,094 ",,,," £3,094 ",,Feb/2021,,," £2,522 ", £572 ,,," £3,094 ",
,Mar/2021," £2,837 ",,,," £2,837 ",,Mar/2021,, £10 ," £2,255 ", £572 ,,," £2,837 ",
,Apr/2021," £2,732 ",,,," £2,732 ",,Apr/2021,,," £2,160 ", £572 ,,," £2,732 ",
,May/2021," £2,782 ",,,," £2,782 ",,May/2021,,," £2,210 ", £572 ,,," £2,782 ",
,Jun/2021," £2,762 ",,,," £2,762 ",,Jun/2021,,," £2,190 ", £572 ,,," £2,762 ",
,Jul/2021," £2,752 ",,,," £2,752 ",,Jul/2021,,," £2,180 ", £572 ,,," £2,752 ",
,Aug/2021," £11,959 ",,,," £11,959 ",,Aug/2021,," £9,267 "," £2,120 ", £572 ,,," £11,959 ",
,Sep/2021," £2,732 ",,,," £2,732 ",,Sep/2021,,," £2,160 ", £572 ,,," £2,732 ",
,Oct/2021," £5,695 ",,,," £5,695 ",,Oct/2021,," £3,000 "," £2,123 ", £572 ,,," £5,695 ",
,Nov/2021," £5,259 ",,,," £5,259 ",,Nov/2021,,," £4,471 ", £572 , £216 ,," £5,259 ",
,Dec/2021," £2,795 ",,,," £2,795 ",,Dec/2021,,," £2,123 ", £572 , £100 ,," £2,795 ",
,Jan/2022," £2,784 ",,," £18,080 "," £20,864 ",,Jan/2022,,"-£4,335 "," £3,598 ", £572 ," £20,456 ",," £20,292 ",
,Feb/2022," £3,584 ",,," £12,688 "," £16,272 ",,Feb/2022,,," £2,828 ", £572 ," £12,299 ",," £15,699 ",
,Mar/2022," £3,568 ",,,," £3,568 ",,Mar/2022,,," £2,996 ", £572 ,,," £3,568 ",
,Apr/2022," £4,241 ",,,," £4,241 ",,Apr/2022,,," £3,312 ", £572 , £356 ,," £4,241 ",
,May/2022," £3,792 ",,,," £3,792 ",,May/2022,,," £3,220 ", £572 ,"-£10,145 ",,"-£6,353 ",
,Jun/2022," £3,804 ",,,," £3,804 ",,Jun/2022,,," £3,232 ", £572 ,,," £3,804 ",
,Jul/2022," £3,678 ",,,," £3,678 ",,Jul/2022,,," £3,106 ", £572 ,,," £3,678 ",
,Aug/2022," £2,904 ",,,," £2,904 ",,Aug/2022," £3,364 ",, £-   , £572 ,"-£1,605 ",," £2,332 ",
,Sep/2022," £2,824 ",,,," £2,824 ",,Sep/2022,"-£2,122 ",," £6,700 ", £572 ,"-£2,898 ",," £2,252 ",
,Oct/2022," £2,603 ",,,," £2,603 ",,Oct/2022,-£261 ,," £1,719 ", £572 ,,," £2,030 ",
,Nov/2022," £3,626 ",,,," £3,626 ",,Nov/2022," £1,219 ",," £1,262 ", £572 ,,," £3,053 ",
,Dec/2022," £3,145 ",,,," £3,145 ",,Dec/2022,"-£1,269 "," £2,000 "," £1,269 ", £572 ,,," £2,572 ",
